Timestamp(ms),Current(uA)
4032.35,130219.984
4032.36,130219.984
4032.37,135553.734
4032.38,136316.000
4032.39,142416.813
4032.4,144705.859
4032.41,147758.969
4032.42,148522.438
4032.43,154632.875
4032.44,153868.813
4032.45,153104.813
4032.46,154632.875
4032.47,159218.875
4032.48,156925.531
4032.49,160748.141
4032.5,159218.875
4032.51,163807.563
4032.52,164572.609
4032.53,165337.734
4032.54,163042.594
4032.55,165337.734
4032.56,169930.031
4032.57,167633.547
4032.58,165337.734
4032.59,166102.922
4032.6,168398.969
4032.61,169164.469
4032.62,171461.406
4032.63,172227.203
4032.64,172993.078
4032.65,170695.688
4032.66,172993.078
4032.67,171461.406
4032.68,171461.406
4032.69,171461.406
4032.7,172227.203
4032.71,170695.688
4032.72,175291.141
4032.73,171461.406
4032.74,174525.047
4032.75,169930.031
4032.76,169930.031
4032.77,172227.203
4032.78,172227.203
4032.79,172227.203
4032.8,170695.688
4032.81,169930.031
4032.82,172227.203
4032.83,172227.203
4032.84,169164.469
4032.85,171461.406
4032.86,171461.406
4032.87,172993.078
4032.88,172993.078
4032.89,172993.078
4032.9,169164.469
4032.91,173759.016
4032.92,174525.047
4032.93,172227.203
4032.94,172993.078
4032.95,170695.688
4032.96,173759.016
4032.97,172993.078
4032.98,172993.078
4032.99,174525.047
4033,174525.047
4033.01,173759.016
4033.02,173759.016
4033.03,172227.203
4033.04,173759.016
4033.05,174525.047
4033.06,169930.031
4033.07,169930.031
4033.08,172993.078
4033.09,176057.313
4033.1,176823.563
4033.11,176057.313
4033.12,170695.688
4033.13,170695.688
4033.14,174525.047
4033.15,172993.078
4033.16,172993.078
4033.17,172993.078
4033.18,172993.078
4033.19,172993.078
4033.2,172993.078
4033.21,172993.078
4033.22,176057.313
4033.23,174525.047
4033.24,174525.047
4033.25,174525.047
4033.26,173759.016
4033.27,177589.891
4033.28,170695.688
4033.29,177589.891
4033.3,174525.047
4033.31,176057.313
4033.32,176823.563
4033.33,174525.047
4033.34,174525.047
4033.35,176823.563
4033.36,174525.047
4033.37,174525.047
4033.38,169164.469
4033.39,170695.688
4033.4,166868.203
4033.41,168398.969
4033.42,169930.031
4033.43,169930.031
4033.44,170695.688
4033.45,168398.969
4033.46,169164.469
4033.47,169930.031
4033.48,171461.406
4033.49,169930.031
4033.5,169164.469
4033.51,170695.688
4033.52,169164.469
4033.53,169164.469
4033.54,168398.969
4033.55,172227.203
4033.56,169930.031
4033.57,169930.031
4033.58,169930.031
4033.59,169164.469
4033.6,167633.547
4033.61,169164.469
4033.62,168398.969
4033.63,166868.203
4033.64,168398.969
4033.65,166868.203
4033.66,164572.609
4033.67,161512.875
4033.68,162277.703
4033.69,159983.469
4033.7,160748.141
4033.71,160748.141
4033.72,159983.469
4033.73,159218.875
4033.74,159218.875
4033.75,158454.344
4033.76,159218.875
4033.77,157689.906
4033.78,156925.531
4033.79,156925.531
4033.8,153868.813
4033.81,154632.875
4033.82,153868.813
4033.83,154632.875
4033.84,154632.875
4033.85,156161.250
4033.86,155397.031
4033.87,154632.875
4033.88,154632.875
4033.89,153104.813
4033.9,152340.906
4033.91,154632.875
4033.92,152340.906
4033.93,153104.813
4033.94,153868.813
4033.95,153104.813
4033.96,155397.031
4033.97,154632.875
4033.98,154632.875
4033.99,152340.906
4034,153868.813
4034.01,153868.813
4034.02,154632.875
4034.03,152340.906
4034.04,151577.063
4034.05,152340.906
4034.06,152340.906
4034.07,154632.875
4034.08,153868.813
4034.09,151577.063
4034.1,151577.063
4034.11,152340.906
4034.12,153104.813
4034.13,153868.813
4034.14,153868.813
4034.15,152340.906
4034.16,151577.063
4034.17,155397.031
4034.18,152340.906
4034.19,153104.813
4034.2,154632.875
4034.21,154632.875
4034.22,152340.906
4034.23,154632.875
4034.24,153868.813
4034.25,153868.813
4034.26,154632.875
4034.27,154632.875
4034.28,153104.813
4034.29,150813.297
4034.3,149285.984
4034.31,153868.813
4034.32,155397.031
4034.33,150813.297
4034.34,154632.875
4034.35,153868.813
4034.36,156161.250
4034.37,154632.875
4034.38,152340.906
4034.39,153104.813
4034.4,153868.813
4034.41,151577.063
4034.42,153104.813
4034.43,153104.813
4034.44,150049.594
4034.45,153868.813
4034.46,153104.813
4034.47,153868.813
4034.48,158454.344
4034.49,160748.141
4034.5,161512.875
4034.51,166868.203
4034.52,170695.688
4034.53,172993.078
4034.54,169930.031
4034.55,171461.406
4034.56,172227.203
4034.57,171461.406
4034.58,174525.047
4034.59,169930.031
4034.6,169164.469
4034.61,165337.734
4034.62,168398.969
4034.63,167633.547
4034.64,164572.609
4034.65,162277.703
4034.66,159218.875
4034.67,159983.469
4034.68,159983.469
4034.69,159218.875
4034.7,156925.531
4034.71,158454.344
4034.72,161512.875
4034.73,157689.906
4034.74,156161.250
4034.75,155397.031
4034.76,156161.250
4034.77,155397.031
4034.78,155397.031
4034.79,156161.250
4034.8,153868.813
4034.81,154632.875
4034.82,155397.031
4034.83,155397.031
4034.84,155397.031
4034.85,153868.813
4034.86,153868.813
4034.87,155397.031
4034.88,154632.875
4034.89,161512.875
4034.9,163807.563
4034.91,165337.734
4034.92,165337.734
4034.93,166868.203
4034.94,165337.734
4034.95,165337.734
4034.96,169930.031
4034.97,167633.547
4034.98,168398.969
4034.99,175291.141
4035,181422.641
4035.01,193700.063
4035.02,202151.953
4035.03,205227.625
4035.04,202920.750
4035.05,206765.906
4035.06,198309.047
4035.07,196004.219
4035.08,192932.156
4035.09,187558.938
4035.1,183723.188
4035.11,180655.938
4035.12,177589.891
4035.13,176057.313
4035.14,172227.203
4035.15,176057.313
4035.16,173759.016
4035.17,173759.016
4035.18,167633.547
4035.19,163042.594
4035.2,158454.344
4035.21,156925.531
4035.22,156161.250
4035.23,150813.297
4035.24,148522.438
4035.25,146232.266
4035.26,148522.438
4035.27,144705.859
4035.28,141653.938
4035.29,144705.859
4035.3,142416.813
4035.31,140891.156
4035.32,138603.234
4035.33,138603.234
4035.34,137840.750
4035.35,139365.797
4035.36,138603.234
4035.37,137840.750
4035.38,137078.328
