time_ms,time_relative_ms,current_ua
3798.67,-300.0,11930.504
3798.68,-299.99000000000024,11697.881
3798.69,-299.98,11651.381
3798.7,-299.97000000000025,11837.431
3798.71,-299.96000000000004,11604.888
3798.72,-299.9500000000003,11651.381
3798.73,-299.94000000000005,11465.46
3798.74,-299.9300000000003,11372.549
3798.75,-299.9200000000001,11326.105
3798.76,-299.90999999999985,11651.381
3798.77,-299.9000000000001,12442.991
3798.78,-299.8899999999999,12536.276
3798.79,-299.8800000000001,12396.361
3798.8,-299.8699999999999,12396.361
3798.81,-299.8600000000001,12256.519
3798.82,-299.8499999999999,12256.519
3798.83,-299.84000000000015,12163.331
3798.84,-299.8299999999999,12070.176
3798.85,-299.82000000000016,12070.176
3798.86,-299.80999999999995,11930.504
3798.87,-299.8000000000002,11837.431
3798.88,-299.78999999999996,11883.964
3798.89,-299.7800000000002,11604.888
3798.9,-299.77,11744.39
3798.91,-299.7600000000002,11651.381
3798.92,-299.75,11558.404
3798.93,-299.74000000000024,11511.928
3798.94,-299.73,11326.105
3798.95,-299.72000000000025,11326.105
3798.96,-299.71000000000004,11326.105
3798.97,-299.7000000000003,11372.549
3798.98,-299.69000000000005,11372.549
3798.99,-299.6800000000003,11233.243
3799.0,-299.6700000000001,11326.105
3799.01,-299.65999999999985,11140.413
3799.02,-299.6500000000001,11001.229
3799.03,-299.6399999999999,10954.85
3799.04,-299.6300000000001,11047.615
3799.05,-299.6199999999999,10954.85
3799.06,-299.6100000000001,10769.417
3799.07,-299.5999999999999,10769.417
3799.08,-299.59000000000015,10862.117
3799.09,-299.5799999999999,10769.417
3799.1,-299.57000000000016,10630.428
3799.11,-299.55999999999995,10723.079
3799.12,-299.5500000000002,10676.749
3799.13,-299.53999999999996,10398.941
3799.14,-299.5300000000002,10491.512
3799.15,-299.52,10630.428
3799.16,-299.5100000000002,10630.428
3799.17,-299.5,10584.114
3799.18,-299.49000000000024,11511.928
3799.19,-299.48,12116.749
3799.2,-299.47000000000025,12209.921
3799.21,-299.46000000000004,12070.176
3799.22,-299.4500000000003,11837.431
3799.23,-299.44000000000005,12070.176
3799.24,-299.4300000000003,11697.881
3799.25,-299.4200000000001,11651.381
3799.26,-299.40999999999985,11837.431
3799.27,-299.4000000000001,11511.928
3799.28,-299.3899999999999,11558.404
3799.29,-299.3800000000001,11558.404
3799.3,-299.3699999999999,11465.46
3799.31,-299.3600000000001,11372.549
3799.32,-299.3499999999999,11326.105
3799.33,-299.34000000000015,11372.549
3799.34,-299.3299999999999,11186.823
3799.35,-299.32000000000016,11279.67
3799.36,-299.30999999999995,11372.549
3799.37,-299.3000000000002,11140.413
3799.38,-299.28999999999996,11326.105
3799.39,-299.2800000000002,12303.125
3799.4,-299.27,12442.991
3799.41,-299.2600000000002,12442.991
3799.42,-299.25,12396.361
3799.43,-299.24000000000024,12256.519
3799.44,-299.23,12163.331
3799.45,-299.22000000000025,11977.054
3799.46,-299.21000000000004,12023.61
3799.47,-299.2000000000003,12116.749
3799.48,-299.19000000000005,12070.176
3799.49,-299.1800000000003,11790.906
3799.5,-299.1700000000001,11790.906
3799.51,-299.15999999999985,11697.881
3799.52,-299.1500000000001,11651.381
3799.53,-299.1399999999999,11744.39
3799.54,-299.1300000000001,11604.888
3799.55,-299.1199999999999,11558.404
3799.56,-299.1100000000001,11651.381
3799.57,-299.0999999999999,11419.0
3799.58,-299.09000000000015,11465.46
3799.59,-299.0799999999999,11326.105
3799.6,-299.07000000000016,11233.243
3799.61,-299.05999999999995,11140.413
3799.62,-299.0500000000002,11279.67
3799.63,-299.03999999999996,12396.361
3799.64,-299.0300000000002,12349.738
3799.65,-299.02,12303.125
3799.66,-299.0100000000002,12396.361
3799.67,-299.0,12116.749
3799.68,-298.99000000000024,12116.749
3799.69,-298.98,11977.054
3799.7,-298.97000000000025,11883.964
3799.71,-298.96000000000004,11977.054
3799.72,-298.9500000000003,11883.964
3799.73,-298.94000000000005,11697.881
3799.74,-298.9300000000003,11837.431
3799.75,-298.9200000000001,11511.928
3799.76,-298.90999999999985,11604.888
3799.77,-298.9000000000001,11604.888
3799.78,-298.8899999999999,11558.404
3799.79,-298.8800000000001,11326.105
3799.8,-298.8699999999999,11651.381
3799.81,-298.8600000000001,12536.276
3799.82,-298.8499999999999,12489.63
3799.83,-298.84000000000015,12396.361
3799.84,-298.8299999999999,12349.738
3799.85,-298.82000000000016,12349.738
3799.86,-298.80999999999995,12256.519
3799.87,-298.8000000000002,12209.921
3799.88,-298.78999999999996,12209.921
3799.89,-298.7800000000002,12023.61
3799.9,-298.77,11977.054
3799.91,-298.7600000000002,11837.431
3799.92,-298.75,11837.431
3799.93,-298.74000000000024,11697.881
3799.94,-298.73,11511.928
3799.95,-298.72000000000025,11697.881
3799.96,-298.71000000000004,11511.928
3799.97,-298.7000000000003,11604.888
3799.98,-298.69000000000005,11558.404
3799.99,-298.6800000000003,11326.105
3800.0,-298.6700000000001,11326.105
3800.01,-298.65999999999985,11419.0
3800.02,-298.6500000000001,11233.243
3800.03,-298.6399999999999,11790.906
3800.04,-298.6300000000001,12396.361
3800.05,-298.6199999999999,12489.63
3800.06,-298.6100000000001,12349.738
3800.07,-298.5999999999999,12442.991
3800.08,-298.59000000000015,12070.176
3800.09,-298.5799999999999,12209.921
3800.1,-298.57000000000016,12023.61
