Timestamp(ms),Current(uA)
16080.4,11047.615
16080.41,10908.479
16080.42,10862.117
16080.43,10723.079
16080.44,10584.114
16080.45,10676.749
16080.46,10584.114
16080.47,10491.512
16080.48,10398.941
16080.49,10260.147
16080.5,10306.403
16080.51,10121.426
16080.52,10028.985
16080.53,9890.386
16080.54,9936.578
16080.55,9844.202
16080.56,9844.202
16080.57,9844.202
16080.58,9844.202
16080.59,9659.550
16080.6,9705.700
16080.61,9798.027
16080.62,9475.026
16080.63,9751.859
16080.64,9567.271
16080.65,9659.550
16080.66,9521.146
16080.67,9567.271
16080.68,13049.925
16080.69,14596.768
16080.7,14549.764
16080.71,14267.910
16080.72,14033.256
16080.73,13845.678
16080.74,13377.304
16080.75,13236.949
16080.76,13003.188
16080.77,12769.631
16080.78,12582.931
16080.79,12256.519
16080.8,12163.331
16080.81,12023.610
16080.82,11930.504
16080.83,11697.881
16080.84,11604.888
16080.85,11372.549
16080.86,11140.413
16080.87,11094.010
16080.88,11047.615
16080.89,10954.850
16080.9,10676.749
16080.91,10769.417
16080.92,10769.417
16080.93,10584.114
16080.94,10398.941
16080.95,10398.941
16080.96,10213.898
16080.97,10352.668
16080.98,10260.147
16080.99,10260.147
16081,10028.985
16081.01,9936.578
16081.02,9982.777
16081.03,10075.201
16081.04,9982.777
16081.05,9798.027
16081.06,9751.859
16081.07,9890.386
16081.08,9705.700
16081.09,9475.026
16081.1,9613.406
16081.11,9521.146
16081.12,9567.271
16081.13,9567.271
16081.14,9567.271
16081.15,9475.026
16081.16,9382.813
16081.17,11558.404
16081.18,14408.800
16081.19,14408.800
16081.2,14080.170
16081.21,13892.561
16081.22,13751.938
16081.23,13424.104
16081.24,13003.188
16081.25,12956.461
16081.26,12863.029
16081.27,12396.361
16081.28,12256.519
16081.29,12303.125
16081.3,12023.610
16081.31,11930.504
16081.32,11790.906
16081.33,11558.404
16081.34,11372.549
16081.35,11326.105
16081.36,11326.105
16081.37,11094.010
16081.38,10954.850
16081.39,11001.229
16081.4,10769.417
16081.41,10584.114
16081.42,10491.512
16081.43,10630.428
16081.44,10491.512
16081.45,10213.898
16081.46,10167.658
16081.47,10121.426
16081.48,10075.201
16081.49,10075.201
16081.5,10028.985
16081.51,10075.201
16081.52,10028.985
16081.53,9844.202
16081.54,9936.578
16081.55,9659.550
16081.56,9751.859
16081.57,9659.550
16081.58,9567.271
16081.59,9613.406
16081.6,9567.271
16081.61,9521.146
16081.62,9659.550
16081.63,9567.271
16081.64,9475.026
16081.65,10121.426
16081.66,14220.963
16081.67,14408.800
16081.68,14361.828
16081.69,13798.804
16081.7,13564.556
16081.71,13377.304
16081.72,13049.925
16081.73,13143.421
16081.74,12909.741
16081.75,12442.991
16081.76,12303.125
16081.77,12163.331
16081.78,12070.176
16081.79,11883.964
16081.8,11744.390
16081.81,11558.404
16081.82,11558.404
16081.83,11140.413
16081.84,11140.413
16081.85,11047.615
16081.86,10954.850
16081.87,10862.117
16081.88,10815.763
16081.89,10491.512
16081.9,10584.114
16081.91,10630.428
16081.92,10306.403
16081.93,10260.147
16081.94,10167.658
16081.95,10167.658
16081.96,10260.147
16081.97,9844.202
16081.98,10167.658
16081.99,9936.578
16082,10121.426
16082.01,9798.027
16082.02,9751.859
16082.03,9798.027
16082.04,9613.406
16082.05,9705.700
16082.06,9475.026
16082.07,9659.550
16082.08,9705.700
16082.09,9336.720
16082.1,9475.026
16082.11,9475.026
16082.12,9521.146
16082.13,9290.634
16082.14,9475.026
16082.15,9567.271
16082.16,9428.916
16082.17,9428.916
16082.18,9336.720
16082.19,9244.556
16082.2,9244.556
16082.21,9244.556
16082.22,9290.634
16082.23,9244.556
16082.24,9290.634
16082.25,9336.720
16082.26,9244.556
16082.27,9244.556
16082.28,9244.556
16082.29,9336.720
16082.3,9244.556
16082.31,9290.634
16082.32,9106.370
16082.33,9060.325
16082.34,9198.485
16082.35,9244.556
16082.36,9106.370
16082.37,11511.928
16082.38,14408.800
16082.39,14502.768
16082.4,14174.023
16082.41,13892.561
16082.42,13658.230
16082.43,13424.104
16082.44,13096.669
16082.45,12909.741
16082.46,12863.029
16082.47,12442.991
16082.48,12349.738
16082.49,12209.921
16082.5,11883.964
16082.51,11744.390
16082.52,11558.404
16082.53,11558.404
16082.54,11279.670
16082.55,11326.105
16082.56,11233.243
16082.57,11094.010
16082.58,10954.850
16082.59,10815.763
16082.6,10862.117
16082.61,10815.763
16082.62,10537.809
16082.63,10630.428
16082.64,10398.941
16082.65,10260.147
16082.66,10260.147
16082.67,10213.898
16082.68,10306.403
16082.69,10167.658
16082.7,10167.658
16082.71,10028.985
16082.72,9890.386
16082.73,10075.201
16082.74,9844.202
16082.75,9798.027
16082.76,9705.700
16082.77,9659.550
16082.78,9705.700
16082.79,9751.859
16082.8,9705.700
16082.81,9659.550
16082.82,9521.146
16082.83,9521.146
16082.84,9475.026
16082.85,9428.916
16082.86,10954.850
16082.87,14455.779
16082.88,14549.764
16082.89,14361.828
16082.9,14080.170
16082.91,13751.938
16082.92,13424.104
16082.93,13330.511
16082.94,13236.949
16082.95,12816.326
16082.96,12629.594
16082.97,12349.738
16082.98,11977.054
16082.99,12116.749
16083,12023.610
16083.01,11744.390
16083.02,11651.381
16083.03,11558.404
16083.04,11326.105
16083.05,11233.243
16083.06,10954.850
16083.07,10954.850
16083.08,10954.850
16083.09,10862.117
16083.1,10676.749
16083.11,10676.749
16083.12,10537.809
16083.13,10352.668
16083.14,10260.147
16083.15,10213.898
16083.16,10075.201
16083.17,9982.777
16083.18,10028.985
16083.19,9982.777
16083.2,9844.202
16083.21,9982.777
16083.22,9890.386
16083.23,9844.202
16083.24,9844.202
16083.25,9659.550
16083.26,9798.027
16083.27,9659.550
16083.28,9613.406
16083.29,9751.859
16083.3,9659.550
16083.31,9659.550
16083.32,11930.504
16083.33,14361.828
16083.34,14455.779
16083.35,14127.093
16083.36,13986.349
16083.37,13798.804
16083.38,13517.730
16083.39,13049.925
16083.4,12863.029
16083.41,12816.326
16083.42,12536.276
16083.43,12349.738
16083.44,12256.519
16083.45,12070.176
16083.46,11837.431
16083.47,11744.390
16083.48,11511.928
16083.49,11372.549
16083.5,11233.243
16083.51,11186.823
16083.52,10954.850
16083.53,11047.615
16083.54,11001.229
16083.55,10815.763
16083.56,10723.079
16083.57,10584.114
16083.58,10398.941
16083.59,10352.668
16083.6,10445.223
16083.61,10260.147
16083.62,10121.426
16083.63,10121.426
16083.64,10028.985
16083.65,10075.201
16083.66,10028.985
16083.67,9890.386
16083.68,9936.578
16083.69,9751.859
16083.7,9659.550
16083.71,9659.550
16083.72,9475.026
16083.73,9659.550
16083.74,9659.550
16083.75,9567.271
16083.76,9751.859
16083.77,9428.916
16083.78,9428.916
16083.79,9521.146
16083.8,9428.916
16083.81,9475.026
16083.82,11372.549
16083.83,14314.865
16083.84,14361.828
16083.85,14127.093
16083.86,13986.349
16083.87,13658.230
16083.88,13424.104
16083.89,13049.925
16083.9,12956.461
16083.91,12676.265
16083.92,12489.630
16083.93,12256.519
16083.94,12070.176
16083.95,11837.431
16083.96,11837.431
16083.97,11651.381
16083.98,11651.381
16083.99,11419.000
16084,11372.549
16084.01,11140.413
16084.02,10862.117
16084.03,10954.850
16084.04,10815.763
16084.05,10815.763
16084.06,10584.114
16084.07,10537.809
16084.08,10398.941
16084.09,10537.809
16084.1,10398.941
16084.11,10306.403
16084.12,10260.147
16084.13,10260.147
16084.14,12303.125
16084.15,14831.909
16084.16,14878.962
16084.17,14643.779
16084.18,14267.910
16084.19,13892.561
16084.2,13751.938
16084.21,13611.390
16084.22,13283.727
16084.23,13049.925
16084.24,12676.265
16084.25,12582.931
16084.26,12303.125
16084.27,12303.125
16084.28,12209.921
16084.29,11883.964
16084.3,11930.504
16084.31,11697.881
16084.32,11651.381
16084.33,11186.823
16084.34,11372.549
16084.35,11094.010
16084.36,11047.615
16084.37,11001.229
16084.38,10908.479
16084.39,10630.428
16084.4,14502.768
16084.41,15302.802
16084.42,15161.449
16084.43,14831.909
16084.44,14502.768
16084.45,14220.963
16084.46,14033.256
16084.47,13564.556
16084.48,13517.730
16084.49,13236.949
16084.5,13143.421
16084.51,12769.631
16084.52,12536.276
16084.53,12489.630
16084.54,12209.921
16084.55,11977.054
16084.56,11977.054
16084.57,11744.390
16084.58,11697.881
16084.59,11326.105
16084.6,11419.000
16084.61,10954.850
16084.62,10954.850
16084.63,10862.117
16084.64,11651.381
16084.65,15491.387
16084.66,15774.507
16084.67,15302.802
16084.68,14926.022
16084.69,14596.768
16084.7,14314.865
16084.71,13939.450
16084.72,13798.804
16084.73,13658.230
16084.74,13236.949
16084.75,13143.421
16084.76,12956.461
16084.77,12816.326
16084.78,12489.630
16084.79,12489.630
16084.8,12116.749
16084.81,12116.749
16084.82,11977.054
16084.83,11744.390
16084.84,11651.381
16084.85,11326.105
16084.86,11279.670
16084.87,11140.413
16084.88,11140.413
16084.89,12442.991
16084.9,15632.910
16084.91,15821.723
16084.92,15444.229
16084.93,15067.254
16084.94,14690.800
16084.95,14361.828
16084.96,14033.256
16084.97,13658.230
16084.98,13424.104
16084.99,13330.511
16085,13143.421
16085.01,12863.029
16085.02,12769.631
16085.03,12722.943
16085.04,16388.938
16085.05,16578.270
16085.06,16010.664
16085.07,15868.945
16085.08,15538.553
16085.09,15020.169
16085.1,14737.828
16085.11,14596.768
16085.12,14361.828
16085.13,13658.230
16085.14,13611.390
16085.15,13190.181
16085.16,13236.949
16085.17,13049.925
16085.18,12816.326
16085.19,12489.630
16085.2,12256.519
16085.21,12116.749
16085.22,11930.504
16085.23,11744.390
16085.24,11697.881
16085.25,11465.460
16085.26,11511.928
16085.27,11279.670
16085.28,12396.361
16085.29,15774.507
16085.3,15727.300
16085.31,15255.676
16085.32,15067.254
16085.33,14737.828
16085.34,14267.910
16085.35,14220.963
16085.36,13845.678
16085.37,13658.230
16085.38,13424.104
16085.39,13236.949
16085.4,13049.925
16085.41,12909.741
16085.42,12629.594
16085.43,12442.991
16085.44,12163.331
16085.45,12070.176
16085.46,11883.964
16085.47,11651.381
16085.48,11511.928
16085.49,11511.928
16085.5,11279.670
16085.51,11094.010
16085.52,10862.117
16085.53,10908.479
16085.54,15397.078
16085.55,15680.101
16085.56,15444.229
16085.57,15255.676
16085.58,14878.962
16085.59,14502.768
16085.6,14127.093
16085.61,13892.561
16085.62,13658.230
16085.63,13330.511
16085.64,13190.181
16085.65,12909.741
16085.66,13190.181
16085.67,16388.938
16085.68,16625.623
16085.69,16199.736
16085.7,15868.945
16085.71,15727.300
16085.72,14878.962
16085.73,14784.864
16085.74,14596.768
16085.75,14314.865
16085.76,13798.804
16085.77,13751.938
16085.78,13611.390
16085.79,13049.925
16085.8,13003.188
16085.81,12863.029
16085.82,12676.265
16085.83,12489.630
16085.84,12163.331
16085.85,12209.921
16085.86,12023.610
16085.87,11837.431
16085.88,11651.381
16085.89,11326.105
16085.9,13892.561
16085.91,15868.945
16085.92,15774.507
16085.93,15444.229
16085.94,15161.449
16085.95,14784.864
16085.96,14361.828
16085.97,14033.256
16085.98,13798.804
16085.99,13611.390
16086,13236.949
16086.01,13330.511
16086.02,13003.188
16086.03,12769.631
16086.04,12536.276
16086.05,12303.125
16086.06,12396.361
16086.07,12070.176
16086.08,11883.964
16086.09,11558.404
16086.1,11558.404
16086.11,11419.000
16086.12,11372.549
16086.13,11140.413
16086.14,11094.010
16086.15,12256.519
16086.16,15632.910
16086.17,15774.507
16086.18,15302.802
16086.19,14926.022
16086.2,14643.779
16086.21,14361.828
16086.22,14033.256
16086.23,13845.678
16086.24,13611.390
16086.25,13190.181
16086.26,13143.421
16086.27,12909.741
16086.28,12816.326
16086.29,12536.276
16086.3,12442.991
16086.31,12256.519
16086.32,12116.749
16086.33,11930.504
16086.34,11651.381
16086.35,11465.460
16086.36,11372.549
16086.37,11140.413
16086.38,11047.615
16086.39,13470.913
