Timestamp(ms),Current(uA)
0,12070.176
0.01,11744.39
0.02,11326.105
0.03,19625.256
0.04,28028.17
0.05,26308.541
0.06,23820.611
0.07,21594.717
0.08,19481.686
0.09,18050.0
0.1,16578.27
0.11,15444.229
0.12,14596.768
0.13,13705.08
0.14,12956.461
0.15,12536.276
0.16,12116.749
0.17,11651.381
0.18,11140.413
0.19,21980.594
0.2,28176.029
0.21,26406.537
0.22,23723.475
0.23,21642.924
0.24,19673.129
0.25,18050.0
0.26,16767.732
0.27,15444.229
0.28,14408.8
0.29,13564.556
0.3,13049.925
0.31,12303.125
0.32,11651.381
0.33,11372.549
0.34,11140.413
0.35,11094.01
0.36,25574.604
0.37,27831.137
0.38,25428.035
0.39,23335.258
0.4,20968.775
0.41,19099.188
0.42,17716.99
0.43,16152.456
0.44,14973.092
0.45,14220.963
0.46,13517.73
0.47,12676.265
0.48,12349.738
0.49,11977.054
0.5,11372.549
0.51,11140.413
0.52,11001.229
0.53,11837.431
0.54,26651.67
0.55,26406.537
0.56,24014.979
0.57,21691.139
0.58,19768.9
0.59,18145.217
0.6,16483.588
0.61,26210.578
0.62,30204.107
0.63,27781.898
0.64,25086.328
0.65,22608.754
0.66,20488.217
0.67,18621.797
0.68,17289.422
0.69,16105.184
0.7,15020.169
0.71,13986.349
0.72,13330.511
0.73,12629.594
0.74,12209.921
0.75,11651.381
0.76,11372.549
0.77,10815.763
0.78,25476.883
0.79,27437.461
0.8,25086.328
0.81,22802.309
0.82,20632.299
0.83,18908.133
0.84,17241.955
0.85,15963.417
0.86,15067.254
0.87,14267.91
0.88,13564.556
0.89,12722.943
0.9,12442.991
0.91,11651.381
0.92,11326.105
0.93,10954.85
0.94,22560.385
0.95,28077.449
0.96,25965.809
0.97,23480.779
0.98,21305.65
0.99,21353.809
1,33497.5
1.01,31796.484
1.02,28422.625
1.03,33748.441
1.04,39422.75
1.05,47234.227
1.06,44782.988
1.07,39729.605
1.08,37384.512
1.09,44575.199
1.1,40498.023
1.11,35763.281
1.12,31447.441
1.13,28028.17
1.14,25232.725
1.15,22657.131
1.16,20632.299
1.17,31297.973
1.18,32846.004
1.19,29956.049
1.2,26602.627
1.21,24063.592
1.22,21691.139
1.23,19673.129
1.24,18145.217
1.25,16625.623
1.26,15538.553
1.27,14690.8
1.28,13798.804
1.29,13143.421
1.3,12442.991
1.31,12023.61
1.32,11511.928
1.33,11326.105
1.34,21450.146
1.35,27929.637
1.36,26259.555
1.37,23772.039
1.38,21787.59
1.39,19673.129
1.4,17907.232
1.41,16530.926
1.42,15397.078
1.43,14361.828
1.44,13658.23
1.45,13049.925
1.46,12582.931
1.47,11977.054
1.48,11558.404
1.49,11326.105
1.5,10954.85
1.51,12769.631
1.52,27831.137
1.53,27142.547
1.54,24501.469
1.55,22270.344
1.56,20056.408
1.57,18335.752
1.58,16767.732
1.59,15632.91
1.6,14784.864
1.61,13845.678
1.62,13190.181
1.63,12629.594
1.64,12116.749
1.65,11511.928
1.66,11279.67
1.67,11001.229
1.68,10862.117
1.69,24209.477
1.7,27929.637
1.71,25623.477
1.72,23141.346
1.73,21113.102
1.74,19146.971
1.75,17526.879
1.76,16436.26
1.77,15255.676
1.78,14314.865
1.79,13470.913
1.8,12816.326
1.81,12442.991
1.82,12116.749
1.83,11697.881
1.84,11140.413
1.85,10908.479
1.86,10723.079
1.87,19625.256
1.88,27437.461
1.89,26161.607
1.9,23820.611
1.91,21353.809
1.92,19481.686
1.93,18050.0
1.94,16625.623
1.95,15255.676
1.96,14643.779
1.97,13564.556
1.98,13003.188
1.99,12396.361
2,11883.964
2.01,11419.0
2.02,11233.243
2.03,10862.117
2.04,10584.114
2.05,20584.264
2.06,27486.643
2.07,25574.604
2.08,23189.811
2.09,20872.6
2.1,19146.971
2.11,17669.451
2.12,16341.625
2.13,15302.802
2.14,15585.728
2.15,29064.723
