time_ms,current_ua
3006.28,12070.176
3006.29,11744.39
3006.3,11326.105
3006.31,19625.256
3006.32,28028.17
3006.33,26308.541
3006.34,23820.611
3006.35,21594.717
3006.36,19481.686
3006.37,18050.0
3006.38,16578.27
3006.39,15444.229
3006.4,14596.768
3006.41,13705.08
3006.42,12956.461
3006.43,12536.276
3006.44,12116.749
3006.45,11651.381
3006.46,11140.413
3006.47,21980.594
3006.48,28176.029
3006.49,26406.537
3006.5,23723.475
3006.51,21642.924
3006.52,19673.129
3006.53,18050.0
3006.54,16767.732
3006.55,15444.229
3006.56,14408.8
3006.57,13564.556
3006.58,13049.925
3006.59,12303.125
3006.6,11651.381
3006.61,11372.549
3006.62,11140.413
3006.63,11094.01
3006.64,25574.604
3006.65,27831.137
3006.66,25428.035
3006.67,23335.258
3006.68,20968.775
3006.69,19099.188
3006.7,17716.99
3006.71,16152.456
3006.72,14973.092
3006.73,14220.963
3006.74,13517.73
3006.75,12676.265
3006.76,12349.738
3006.77,11977.054
3006.78,11372.549
3006.79,11140.413
3006.8,11001.229
3006.81,11837.431
3006.82,26651.67
3006.83,26406.537
3006.84,24014.979
3006.85,21691.139
3006.86,19768.9
3006.87,18145.217
3006.88,16483.588
3006.89,26210.578
3006.9,30204.107
3006.91,27781.898
3006.92,25086.328
3006.93,22608.754
3006.94,20488.217
3006.95,18621.797
3006.96,17289.422
3006.97,16105.184
3006.98,15020.169
3006.99,13986.349
3007.0,13330.511
3007.01,12629.594
3007.02,12209.921
3007.03,11651.381
3007.04,11372.549
3007.05,10815.763
3007.06,25476.883
3007.07,27437.461
3007.08,25086.328
3007.09,22802.309
3007.1,20632.299
3007.11,18908.133
3007.12,17241.955
3007.13,15963.417
3007.14,15067.254
3007.15,14267.91
3007.16,13564.556
3007.17,12722.943
3007.18,12442.991
3007.19,11651.381
3007.2,11326.105
3007.21,10954.85
3007.22,22560.385
3007.23,28077.449
3007.24,25965.809
3007.25,23480.779
3007.26,21305.65
3007.27,21353.809
3007.28,33497.5
3007.29,31796.484
3007.3,28422.625
3007.31,33748.441
3007.32,39422.75
3007.33,47234.227
3007.34,44782.988
3007.35,39729.605
3007.36,37384.512
3007.37,44575.199
3007.38,40498.023
3007.39,35763.281
3007.4,31447.441
3007.41,28028.17
3007.42,25232.725
3007.43,22657.131
3007.44,20632.299
3007.45,31297.973
3007.46,32846.004
3007.47,29956.049
3007.48,26602.627
3007.49,24063.592
3007.5,21691.139
3007.51,19673.129
3007.52,18145.217
3007.53,16625.623
3007.54,15538.553
3007.55,14690.8
3007.56,13798.804
3007.57,13143.421
3007.58,12442.991
3007.59,12023.61
3007.6,11511.928
3007.61,11326.105
3007.62,21450.146
3007.63,27929.637
3007.64,26259.555
3007.65,23772.039
3007.66,21787.59
3007.67,19673.129
3007.68,17907.232
3007.69,16530.926
3007.7,15397.078
3007.71,14361.828
3007.72,13658.23
3007.73,13049.925
3007.74,12582.931
3007.75,11977.054
3007.76,11558.404
3007.77,11326.105
3007.78,10954.85
3007.79,12769.631
3007.8,27831.137
3007.81,27142.547
3007.82,24501.469
3007.83,22270.344
3007.84,20056.408
3007.85,18335.752
3007.86,16767.732
3007.87,15632.91
3007.88,14784.864
3007.89,13845.678
3007.9,13190.181
3007.91,12629.594
3007.92,12116.749
3007.93,11511.928
3007.94,11279.67
3007.95,11001.229
3007.96,10862.117
3007.97,24209.477
3007.98,27929.637
3007.99,25623.477
3008.0,23141.346
3008.01,21113.102
3008.02,19146.971
3008.03,17526.879
3008.04,16436.26
3008.05,15255.676
3008.06,14314.865
3008.07,13470.913
3008.08,12816.326
3008.09,12442.991
3008.1,12116.749
3008.11,11697.881
3008.12,11140.413
3008.13,10908.479
3008.14,10723.079
3008.15,19625.256
3008.16,27437.461
3008.17,26161.607
3008.18,23820.611
3008.19,21353.809
3008.2,19481.686
3008.21,18050.0
3008.22,16625.623
3008.23,15255.676
3008.24,14643.779
3008.25,13564.556
3008.26,13003.188
3008.27,12396.361
3008.28,11883.964
3008.29,11419.0
3008.3,11233.243
3008.31,10862.117
3008.32,10584.114
3008.33,20584.264
3008.34,27486.643
3008.35,25574.604
3008.36,23189.811
3008.37,20872.6
3008.38,19146.971
3008.39,17669.451
3008.4,16341.625
3008.41,15302.802
3008.42,15585.728
3008.43,29064.723
