time_ms,time_relative_ms,current_ua
11712.13,-140.0,21209.359
11712.14,-139.98999999999978,21257.502
11712.15,-139.97999999999956,21161.227
11712.16,-139.96999999999935,21209.359
11712.17,-139.95999999999913,21209.359
11712.18,-139.9499999999989,21257.502
11712.19,-139.9399999999987,21113.102
11712.2,-139.92999999999847,21209.359
11712.21,-139.92000000000007,21257.502
11712.22,-139.90999999999985,21113.102
11712.23,-139.89999999999964,21064.984
11712.24,-139.88999999999942,21064.984
11712.25,-139.8799999999992,21113.102
11712.26,-139.86999999999898,21401.973
11712.27,-139.85999999999876,21161.227
11712.28,-139.84999999999854,21209.359
11712.29,-139.83999999999833,21257.502
11712.3,-139.82999999999993,21209.359
11712.31,-139.8199999999997,21161.227
11712.32,-139.8099999999995,21064.984
11712.33,-139.79999999999927,21113.102
11712.34,-139.78999999999905,21064.984
11712.35,-139.77999999999884,20968.775
11712.36,-139.76999999999862,21064.984
11712.37,-139.7599999999984,21064.984
11712.38,-139.75,21161.227
11712.39,-139.73999999999978,21161.227
11712.4,-139.72999999999956,21209.359
11712.41,-139.71999999999935,21209.359
11712.42,-139.70999999999913,21113.102
11712.43,-139.6999999999989,21305.65
11712.44,-139.6899999999987,21209.359
11712.45,-139.67999999999847,21161.227
11712.46,-139.67000000000007,21113.102
11712.47,-139.65999999999985,21209.359
11712.48,-139.64999999999964,21209.359
11712.49,-139.63999999999942,21161.227
11712.5,-139.6299999999992,21209.359
11712.51,-139.61999999999898,21113.102
11712.52,-139.60999999999876,21257.502
11712.53,-139.59999999999854,21161.227
11712.54,-139.58999999999833,21113.102
11712.55,-139.57999999999993,20968.775
11712.56,-139.5699999999997,21064.984
11712.57,-139.5599999999995,21209.359
11712.58,-139.54999999999927,20920.684
11712.59,-139.53999999999905,21161.227
11712.6,-139.52999999999884,21064.984
11712.61,-139.51999999999862,21113.102
11712.62,-139.5099999999984,21113.102
11712.63,-139.5,21209.359
11712.64,-139.48999999999978,21257.502
11712.65,-139.47999999999956,21064.984
11712.66,-139.46999999999935,21257.502
11712.67,-139.45999999999913,21209.359
11712.68,-139.4499999999989,21209.359
11712.69,-139.4399999999987,21161.227
11712.7,-139.42999999999847,20920.684
11712.71,-139.42000000000007,21016.877
11712.72,-139.40999999999985,21161.227
11712.73,-139.39999999999964,21498.33
11712.74,-139.38999999999942,21691.139
11712.75,-139.3799999999992,22173.729
11712.76,-139.36999999999898,22560.385
11712.77,-139.35999999999876,22753.908
11712.78,-139.34999999999854,22899.137
11712.79,-139.33999999999833,22463.672
11712.8,-139.32999999999993,22270.344
11712.81,-139.3199999999997,22318.664
11712.82,-139.3099999999995,22512.023
11712.83,-139.29999999999927,22512.023
11712.84,-139.28999999999905,22705.516
11712.85,-139.27999999999884,22608.754
11712.86,-139.26999999999862,21884.076
11712.87,-139.2599999999984,21835.83
11712.88,-139.25,22077.145
11712.89,-139.23999999999978,22318.664
11712.9,-139.22999999999956,22560.385
11712.91,-139.21999999999935,22947.563
11712.92,-139.20999999999913,22222.031
11712.93,-139.1999999999989,22366.992
11712.94,-139.1899999999987,22512.023
11712.95,-139.17999999999847,22415.328
11712.96,-139.17000000000007,22657.131
11712.97,-139.15999999999985,22947.563
11712.98,-139.14999999999964,22753.908
11712.99,-139.13999999999942,22077.145
11713.0,-139.1299999999992,22608.754
11713.01,-139.11999999999898,22657.131
11713.02,-139.10999999999876,22512.023
11713.03,-139.09999999999854,22512.023
11713.04,-139.08999999999833,22753.908
11713.05,-139.07999999999993,22173.729
11713.06,-139.0699999999997,22463.672
11713.07,-139.0599999999995,23044.438
11713.08,-139.04999999999927,23044.438
11713.09,-139.03999999999905,22705.516
11713.1,-139.02999999999884,22705.516
11713.11,-139.01999999999862,22850.719
11713.12,-139.0099999999984,22366.992
11713.13,-139.0,22850.719
11713.14,-138.98999999999978,22850.719
11713.15,-138.97999999999956,22753.908
11713.16,-138.96999999999935,22608.754
11713.17,-138.95999999999913,22802.309
11713.18,-138.9499999999989,22366.992
11713.19,-138.9399999999987,22608.754
11713.2,-138.92999999999847,23044.438
11713.21,-138.92000000000007,22802.309
11713.22,-138.90999999999985,22657.131
11713.23,-138.89999999999964,22657.131
11713.24,-138.88999999999942,22705.516
11713.25,-138.8799999999992,21884.076
11713.26,-138.86999999999898,21498.33
11713.27,-138.85999999999876,21016.877
11713.28,-138.84999999999854,21161.227
11713.29,-138.83999999999833,21113.102
11713.3,-138.82999999999993,21161.227
11713.31,-138.8199999999997,21064.984
11713.32,-138.8099999999995,21209.359
11713.33,-138.79999999999927,21016.877
11713.34,-138.78999999999905,20824.523
11713.35,-138.77999999999884,21016.877
11713.36,-138.76999999999862,21161.227
11713.37,-138.7599999999984,21064.984
11713.38,-138.75,21257.502
11713.39,-138.73999999999978,21113.102
11713.4,-138.72999999999956,20920.684
11713.41,-138.71999999999935,21016.877
11713.42,-138.70999999999913,21161.227
11713.43,-138.6999999999989,21113.102
11713.44,-138.6899999999987,21161.227
11713.45,-138.67999999999847,21305.65
11713.46,-138.67000000000007,21016.877
11713.47,-138.65999999999985,21209.359
11713.48,-138.64999999999964,21113.102
11713.49,-138.63999999999942,21161.227
11713.5,-138.6299999999992,20872.6
11713.51,-138.61999999999898,21209.359
11713.52,-138.60999999999876,21401.973
11713.53,-138.59999999999854,21209.359
11713.54,-138.58999999999833,21209.359
11713.55,-138.57999999999993,21161.227
11713.56,-138.5699999999997,21113.102
11713.57,-138.5599999999995,21161.227
11713.58,-138.54999999999927,21016.877
11713.59,-138.53999999999905,21209.359
11713.6,-138.52999999999884,21161.227
11713.61,-138.51999999999862,21161.227
11713.62,-138.5099999999984,21209.359
11713.63,-138.5,21161.227
11713.64,-138.48999999999978,21450.146
11713.65,-138.47999999999956,21209.359
11713.66,-138.46999999999935,21209.359
11713.67,-138.45999999999913,21209.359
11713.68,-138.4499999999989,21161.227
11713.69,-138.4399999999987,21113.102
11713.7,-138.42999999999847,21113.102
11713.71,-138.42000000000007,21209.359
11713.72,-138.40999999999985,21209.359
11713.73,-138.39999999999964,21113.102
11713.74,-138.38999999999942,21161.227
11713.75,-138.3799999999992,21113.102
11713.76,-138.36999999999898,21209.359
11713.77,-138.35999999999876,21209.359
11713.78,-138.34999999999854,21401.973
11713.79,-138.33999999999833,21161.227
11713.8,-138.32999999999993,21209.359
11713.81,-138.3199999999997,21257.502
11713.82,-138.3099999999995,21209.359
11713.83,-138.29999999999927,21401.973
11713.84,-138.28999999999905,21450.146
11713.85,-138.27999999999884,21401.973
11713.86,-138.26999999999862,21450.146
11713.87,-138.2599999999984,21161.227
11713.88,-138.25,21353.809
11713.89,-138.23999999999978,21257.502
11713.9,-138.22999999999956,21161.227
11713.91,-138.21999999999935,21161.227
11713.92,-138.20999999999913,21257.502
11713.93,-138.1999999999989,21353.809
11713.94,-138.1899999999987,21353.809
