time_ms,time_relative_ms,current_ua
13620.84,-170.27000000000044,21257.502
13620.85,-170.26000000000022,21257.502
13620.86,-170.25,21353.809
13620.87,-170.23999999999978,21305.65
13620.88,-170.23000000000138,21401.973
13620.89,-170.22000000000116,21305.65
13620.9,-170.21000000000095,21546.52
13620.91,-170.20000000000073,21305.65
13620.92,-170.1900000000005,21401.973
13620.93,-170.1800000000003,21353.809
13620.94,-170.17000000000007,21546.52
13620.95,-170.15999999999985,21353.809
13620.96,-170.15000000000146,21450.146
13620.97,-170.14000000000124,21401.973
13620.98,-170.13000000000102,21401.973
13620.99,-170.1200000000008,21642.924
13621.0,-170.11000000000058,21257.502
13621.01,-170.10000000000036,21401.973
13621.02,-170.09000000000015,21305.65
13621.03,-170.07999999999993,21401.973
13621.04,-170.0699999999997,21353.809
13621.05,-170.0600000000013,21161.227
13621.06,-170.0500000000011,21498.33
13621.07,-170.04000000000087,21594.717
13621.08,-170.03000000000065,21353.809
13621.09,-170.02000000000044,21305.65
13621.1,-170.01000000000022,21450.146
13621.11,-170.0,21257.502
13621.12,-169.98999999999978,21498.33
13621.13,-169.98000000000138,21594.717
13621.14,-169.97000000000116,21450.146
13621.15,-169.96000000000095,21305.65
13621.16,-169.95000000000073,21450.146
13621.17,-169.9400000000005,21353.809
13621.18,-169.9300000000003,21353.809
13621.19,-169.92000000000007,21594.717
13621.2,-169.90999999999985,21546.52
13621.21,-169.90000000000146,21257.502
13621.22,-169.89000000000124,21353.809
13621.23,-169.88000000000102,21594.717
13621.24,-169.8700000000008,21642.924
13621.25,-169.86000000000058,21401.973
13621.26,-169.85000000000036,21401.973
13621.27,-169.84000000000015,21353.809
13621.28,-169.82999999999993,21401.973
13621.29,-169.8199999999997,21257.502
13621.3,-169.8100000000013,21353.809
13621.31,-169.8000000000011,21546.52
13621.32,-169.79000000000087,21498.33
13621.33,-169.78000000000065,21257.502
13621.34,-169.77000000000044,21498.33
13621.35,-169.76000000000022,21498.33
13621.36,-169.75,21594.717
13621.37,-169.73999999999978,21305.65
13621.38,-169.73000000000138,21401.973
13621.39,-169.72000000000116,21546.52
13621.4,-169.71000000000095,21450.146
13621.41,-169.70000000000073,21305.65
13621.42,-169.6900000000005,21209.359
13621.43,-169.6800000000003,21353.809
13621.44,-169.67000000000007,21305.65
13621.45,-169.65999999999985,21353.809
13621.46,-169.65000000000146,21450.146
13621.47,-169.64000000000124,21401.973
13621.48,-169.63000000000102,21353.809
13621.49,-169.6200000000008,21305.65
13621.5,-169.61000000000058,21305.65
13621.51,-169.60000000000036,21161.227
13621.52,-169.59000000000015,21257.502
13621.53,-169.57999999999993,21450.146
13621.54,-169.5699999999997,21257.502
13621.55,-169.5600000000013,21353.809
13621.56,-169.5500000000011,21450.146
13621.57,-169.54000000000087,21353.809
13621.58,-169.53000000000065,21353.809
13621.59,-169.52000000000044,21353.809
13621.6,-169.51000000000022,21450.146
13621.61,-169.5,21401.973
13621.62,-169.48999999999978,21594.717
13621.63,-169.48000000000138,21305.65
13621.64,-169.47000000000116,21450.146
13621.65,-169.46000000000095,21594.717
13621.66,-169.45000000000073,21450.146
13621.67,-169.4400000000005,21353.809
13621.68,-169.4300000000003,21498.33
13621.69,-169.42000000000007,21450.146
13621.7,-169.40999999999985,21401.973
13621.71,-169.40000000000146,21498.33
13621.72,-169.39000000000124,21353.809
13621.73,-169.38000000000102,21498.33
13621.74,-169.3700000000008,21257.502
13621.75,-169.36000000000058,21450.146
13621.76,-169.35000000000036,21257.502
13621.77,-169.34000000000015,21498.33
13621.78,-169.32999999999993,21353.809
13621.79,-169.3199999999997,21450.146
13621.8,-169.3100000000013,21353.809
13621.81,-169.3000000000011,21353.809
13621.82,-169.29000000000087,21401.973
13621.83,-169.28000000000065,21353.809
13621.84,-169.27000000000044,21353.809
13621.85,-169.26000000000022,21401.973
13621.86,-169.25,21257.502
13621.87,-169.23999999999978,21401.973
13621.88,-169.23000000000138,21450.146
13621.89,-169.22000000000116,21450.146
13621.9,-169.21000000000095,21594.717
13621.91,-169.20000000000073,21450.146
13621.92,-169.1900000000005,21450.146
13621.93,-169.1800000000003,21305.65
13621.94,-169.17000000000007,21353.809
13621.95,-169.15999999999985,21401.973
13621.96,-169.15000000000146,21305.65
13621.97,-169.14000000000124,21353.809
13621.98,-169.13000000000102,21498.33
13621.99,-169.1200000000008,21594.717
13622.0,-169.11000000000058,21401.973
13622.01,-169.10000000000036,21161.227
13622.02,-169.09000000000015,21450.146
13622.03,-169.07999999999993,21498.33
13622.04,-169.0699999999997,21401.973
13622.05,-169.0600000000013,21209.359
13622.06,-169.0500000000011,21450.146
13622.07,-169.04000000000087,21546.52
13622.08,-169.03000000000065,21209.359
13622.09,-169.02000000000044,21353.809
13622.1,-169.01000000000022,21401.973
13622.11,-169.0,21353.809
13622.12,-168.98999999999978,21401.973
13622.13,-168.98000000000138,21305.65
13622.14,-168.97000000000116,21498.33
13622.15,-168.96000000000095,21546.52
13622.16,-168.95000000000073,21498.33
13622.17,-168.9400000000005,21401.973
13622.18,-168.9300000000003,21546.52
13622.19,-168.92000000000007,21401.973
13622.2,-168.90999999999985,21450.146
13622.21,-168.90000000000146,21305.65
13622.22,-168.89000000000124,21498.33
13622.23,-168.88000000000102,21401.973
13622.24,-168.8700000000008,21450.146
13622.25,-168.86000000000058,21161.227
13622.26,-168.85000000000036,21450.146
13622.27,-168.84000000000015,21353.809
13622.28,-168.82999999999993,21209.359
13622.29,-168.8199999999997,21113.102
13622.3,-168.8100000000013,21450.146
13622.31,-168.8000000000011,21450.146
13622.32,-168.79000000000087,21450.146
13622.33,-168.78000000000065,21353.809
13622.34,-168.77000000000044,21257.502
13622.35,-168.76000000000022,21209.359
13622.36,-168.75,21401.973
13622.37,-168.73999999999978,21257.502
13622.38,-168.73000000000138,21401.973
13622.39,-168.72000000000116,21353.809
13622.4,-168.71000000000095,21257.502
13622.41,-168.70000000000073,21450.146
13622.42,-168.6900000000005,21353.809
13622.43,-168.6800000000003,21161.227
13622.44,-168.67000000000007,21450.146
13622.45,-168.65999999999985,21498.33
13622.46,-168.65000000000146,21257.502
13622.47,-168.64000000000124,21353.809
13622.48,-168.63000000000102,21401.973
13622.49,-168.6200000000008,21450.146
13622.5,-168.61000000000058,21305.65
13622.51,-168.60000000000036,21353.809
13622.52,-168.59000000000015,21305.65
13622.53,-168.57999999999993,21257.502
13622.54,-168.5699999999997,21305.65
13622.55,-168.5600000000013,21305.65
13622.56,-168.5500000000011,21209.359
13622.57,-168.54000000000087,21353.809
13622.58,-168.53000000000065,21353.809
13622.59,-168.52000000000044,21353.809
13622.6,-168.51000000000022,21450.146
13622.61,-168.5,21450.146
13622.62,-168.48999999999978,21353.809
13622.63,-168.48000000000138,21401.973
13622.64,-168.47000000000116,21257.502
13622.65,-168.46000000000095,21401.973
13622.66,-168.45000000000073,21353.809
13622.67,-168.4400000000005,21257.502
13622.68,-168.4300000000003,21161.227
13622.69,-168.42000000000007,21305.65
13622.7,-168.40999999999985,21353.809
13622.71,-168.40000000000146,21594.717
13622.72,-168.39000000000124,21450.146
13622.73,-168.38000000000102,21594.717
13622.74,-168.3700000000008,21401.973
13622.75,-168.36000000000058,21257.502
13622.76,-168.35000000000036,21450.146
13622.77,-168.34000000000015,21450.146
13622.78,-168.32999999999993,21353.809
13622.79,-168.3199999999997,21353.809
13622.8,-168.3100000000013,21161.227
13622.81,-168.3000000000011,21257.502
13622.82,-168.29000000000087,21546.52
13622.83,-168.28000000000065,21353.809
13622.84,-168.27000000000044,21257.502
13622.85,-168.26000000000022,21209.359
