time_iso,elapsed_s,raw,run,cnn_us,timer_ticks,cycles,pred_idx,pred_reported_idx,accepted,confidence_x10,sample_counter,word_counter
2026-05-08T19:48:23.341,4.57825231552124,"BENCH,event=inference,run=1,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=15,pred_reported_idx=20,accepted=0,confidence_x10=154,sample_counter=42624,word_counter=1",1,1711,1045,66880,15,20,0,154,42624,1
2026-05-08T19:48:24.170,5.407736539840698,"BENCH,event=inference,run=2,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=14,pred_reported_idx=20,accepted=0,confidence_x10=504,sample_counter=55424,word_counter=2",2,1711,1044,66816,14,20,0,504,55424,2
2026-05-08T19:48:24.861,6.098923444747925,"BENCH,event=inference,run=3,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=8,pred_reported_idx=20,accepted=0,confidence_x10=48,sample_counter=66048,word_counter=3",3,1711,1044,66816,8,20,0,48,66048,3
2026-05-08T19:48:25.803,7.041130304336548,"BENCH,event=inference,run=4,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=14,pred_reported_idx=20,accepted=0,confidence_x10=516,sample_counter=80640,word_counter=4",4,1711,1044,66816,14,20,0,516,80640,4
2026-05-08T19:48:29.572,10.809718608856201,"BENCH,event=inference,run=5,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=13,pred_reported_idx=20,accepted=0,confidence_x10=299,sample_counter=140160,word_counter=5",5,1711,1045,66880,13,20,0,299,140160,5
2026-05-08T19:48:30.031,11.268178939819336,"BENCH,event=inference,run=6,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=9,pred_reported_idx=20,accepted=0,confidence_x10=70,sample_counter=147072,word_counter=6",6,1711,1045,66880,9,20,0,70,147072,6
2026-05-08T19:48:31.810,13.047568559646606,"BENCH,event=inference,run=7,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=14,pred_reported_idx=20,accepted=0,confidence_x10=100,sample_counter=174976,word_counter=7",7,1711,1045,66880,14,20,0,100,174976,7
2026-05-08T19:48:34.686,15.923985481262207,"BENCH,event=inference,run=8,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=13,pred_reported_idx=20,accepted=0,confidence_x10=318,sample_counter=220288,word_counter=8",8,1711,1045,66880,13,20,0,318,220288,8
2026-05-08T19:48:35.248,16.485417127609253,"BENCH,event=inference,run=9,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=3,pred_reported_idx=20,accepted=0,confidence_x10=49,sample_counter=228864,word_counter=9",9,1711,1044,66816,3,20,0,49,228864,9
2026-05-08T19:48:37.511,18.748361587524414,"BENCH,event=inference,run=10,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=11,pred_reported_idx=20,accepted=0,confidence_x10=198,sample_counter=264448,word_counter=10",10,1711,1044,66816,11,20,0,198,264448,10
2026-05-08T19:48:39.250,20.487903594970703,"BENCH,event=inference,run=11,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=11,pred_reported_idx=20,accepted=0,confidence_x10=195,sample_counter=291712,word_counter=11",11,1711,1045,66880,11,20,0,195,291712,11
