event,run,cnn_us,cycles,pred_idx
inference,0,152903,24464512,20
inference,1,152903,24464501,20
inference,2,152902,24464475,20
inference,3,152903,24464503,20
inference,4,152903,24464501,20
inference,5,152902,24464471,20
inference,6,152902,24464449,20
inference,7,152903,24464490,20
inference,8,152903,24464500,20
inference,9,152903,24464481,20
inference,10,152903,24464498,20
inference,11,152903,24464498,20
inference,12,152902,24464464,20
inference,13,152903,24464499,20
inference,14,152903,24464496,20
inference,15,152902,24464475,20
inference,16,152903,24464500,20
inference,17,152902,24464475,20
inference,18,152903,24464543,20
inference,19,152903,24464486,20
inference,20,152903,24464508,20
inference,21,152902,24464468,20
inference,22,152903,24464489,20
inference,23,152903,24464484,20
inference,24,152903,24464516,20
inference,25,152903,24464509,20
inference,26,152903,24464492,20
inference,27,152903,24464487,20
inference,28,152902,24464457,20
inference,29,152903,24464516,20
inference,30,152903,24464486,20
inference,31,152903,24464499,20
inference,32,152902,24464463,20
inference,33,152903,24464484,20
inference,34,152903,24464499,20
inference,35,152903,24464502,20
inference,36,152903,24464485,20
inference,37,152902,24464457,20
inference,38,152903,24464497,20
inference,39,152903,24464485,20
inference,40,152903,24464483,20
inference,41,152903,24464498,20
inference,42,152902,24464457,20
inference,43,152903,24464514,20
inference,44,152903,24464503,20
inference,45,152903,24464482,20
inference,46,152902,24464468,20
inference,47,152902,24464436,20
inference,48,152903,24464512,20
inference,49,152903,24464502,20
