event,run,cnn_us,cycles,pred_idx
inference,1,357377,57180352,14
inference,2,357377,57180323,14
inference,3,357376,57180282,14
inference,4,357376,57180270,14
inference,5,357376,57180319,14
inference,6,357376,57180164,14
inference,7,357377,57180366,14
inference,8,357376,57180209,14
inference,9,357377,57180393,14
inference,10,357376,57180283,14
inference,11,357376,57180262,14
inference,12,357377,57180374,14
inference,13,357376,57180312,14
inference,14,357376,57180318,14
inference,15,357376,57180301,14
inference,16,357376,57180203,14
inference,17,357376,57180292,14
inference,18,357376,57180283,14
inference,19,357376,57180259,14
inference,20,357377,57180349,14
inference,21,357377,57180360,14
inference,22,357376,57180276,14
inference,23,357377,57180323,14
inference,24,357376,57180292,14
inference,25,357376,57180223,14
inference,26,357376,57180223,14
inference,27,357377,57180320,14
inference,28,357377,57180348,14
inference,29,357377,57180382,14
inference,30,357377,57180358,14
inference,31,357377,57180353,14
inference,32,357376,57180237,14
inference,33,357377,57180320,14
inference,34,357376,57180227,14
inference,35,357377,57180363,14
inference,36,357377,57180358,14
inference,37,357377,57180373,14
inference,38,357376,57180281,14
inference,39,357376,57180296,14
inference,40,357376,57180290,14
inference,41,357376,57180318,14
inference,42,357376,57180301,14
inference,43,357377,57180345,14
inference,44,357377,57180339,14
inference,45,357376,57180283,14
inference,46,357376,57180189,14
inference,47,357376,57180218,14
inference,48,357376,57180218,14
inference,49,357377,57180394,14
