event,run,cnn_us,cycles,pred_idx
inference,0,170762,27321991,11
inference,1,170762,27321954,11
inference,2,170762,27321946,11
inference,3,170762,27321963,11
inference,4,170762,27321986,11
inference,5,170762,27321987,11
inference,6,170761,27321919,11
inference,7,170761,27321905,11
inference,8,170762,27321933,11
inference,9,170762,27321938,11
inference,10,170761,27321905,11
inference,11,170762,27321949,11
inference,12,170762,27321998,11
inference,13,170762,27321984,11
inference,14,170762,27321953,11
inference,15,170762,27322007,11
inference,16,170762,27321984,11
inference,17,170762,27322007,11
inference,18,170762,27321997,11
inference,19,170762,27321974,11
inference,20,170762,27321978,11
inference,21,170762,27321981,11
inference,22,170762,27321959,11
inference,23,170762,27321920,11
inference,24,170762,27321932,11
inference,25,170761,27321894,11
inference,26,170761,27321911,11
inference,27,170762,27321922,11
inference,28,170762,27321923,11
inference,29,170762,27321967,11
inference,30,170762,27321966,11
inference,31,170762,27322000,11
inference,32,170762,27321974,11
inference,33,170762,27321990,11
inference,34,170762,27321978,11
inference,35,170762,27321962,11
inference,36,170762,27321996,11
inference,37,170762,27321977,11
inference,38,170762,27321976,11
inference,39,170762,27321926,11
inference,40,170762,27321935,11
inference,41,170761,27321893,11
inference,42,170761,27321904,11
inference,43,170762,27321923,11
inference,44,170761,27321896,11
inference,45,170762,27321987,11
inference,46,170762,27321964,11
inference,47,170762,27322004,11
inference,48,170762,27321985,11
inference,49,170762,27321979,11
