metric,unit,direction,v0,v1,v0_0
CNN latency avg,ms,lower,1.8493636363636363,1.711,897.28775
Cycles avg,cycles,lower,72267.63636363637,66870.85714285714,44864424.1875
Throughput,inf/s,higher,540.7265398417146,584.4535359438925,1.1144696893499326
End-to-end lower bound,ms,lower,1025.8493636363637,1025.711,
Text,B,lower,390288.0,366040.0,407392.0
Data,B,lower,2604.0,2604.0,2608.0
BSS,B,lower,35956.0,36140.0,65652.0
Static SRAM,B,lower,38560.0,38744.0,68260.0
ELF size,B,lower,2327128.0,2254856.0,1764288.0
AI weights,B,lower,,,
AI activations,B,lower,,,
MAC ops,MAC,lower,8345344.0,7207328.0,8345344.0
MOPS/s,MOPS/s,higher,4512.548984908814,4212.348334307423,9.300632935198324
MAC/cycle,MAC/cycle,higher,115.47830287416471,107.77980585179108,0.18601250659370228
Current,mA,lower,41.415122033238376,39.63848258001114,14.922382541996122
Power,W,lower,0.153235951522982,0.14666238554604125,0.055212815405385654
Energy/inference,uJ,lower,283.3889965301839,250.9393416692766,49541.78290626383
MAC/J,MAC/J,higher,29448369916.19445,28721395186.805096,168450619.06209382
