event,run,mode,cnn_us,cycles,pred_idx
inference,4,offline,417025,333620000,2
inference,5,offline,417209,333767200,2
inference,6,offline,417047,333637600,2
inference,7,offline,416804,333443200,2
inference,8,offline,417110,333688000,2
inference,9,offline,417039,333631200,2
inference,10,offline,417050,333640000,2
inference,11,offline,417487,333989600,2
inference,12,offline,416767,333413600,2
inference,13,offline,417087,333669600,2
inference,14,offline,417175,333740000,2
inference,15,offline,417176,333740800,2
inference,16,offline,417339,333871200,2
inference,17,offline,417031,333624800,2
inference,18,offline,416775,333420000,2
inference,19,offline,417187,333749600,2
inference,20,offline,417097,333677600,2
inference,21,offline,416801,333440800,2
inference,22,offline,416995,333596000,2
inference,23,offline,416932,333545600,2
inference,24,offline,416938,333550400,2
inference,25,offline,417252,333801600,2
inference,26,offline,417310,333848000,2
inference,27,offline,416874,333499200,2
inference,28,offline,417168,333734400,2
inference,29,offline,417255,333804000,2
inference,30,offline,416981,333584800,2
inference,31,offline,416988,333590400,2
inference,32,offline,417164,333731200,2
inference,33,offline,417103,333682400,2
inference,34,offline,417098,333678400,2
inference,35,offline,417138,333710400,2
inference,36,offline,417065,333652000,2
inference,37,offline,416902,333521600,2
inference,38,offline,417284,333827200,2
inference,39,offline,417084,333667200,2
inference,40,offline,417289,333831200,2
inference,41,offline,417017,333613600,2
inference,42,offline,416766,333412800,2
inference,43,offline,417024,333619200,2
inference,44,offline,416994,333595200,2
inference,45,offline,417225,333780000,2
inference,46,offline,416956,333564800,2
inference,47,offline,417055,333644000,2
inference,48,offline,416843,333474400,2
inference,49,offline,417121,333696800,2
