run,cycles,latency_us,latency_ms,errors,tested,pred_class,pred_label,pred_conf
1,28019189,116746.62,116.747,0,12,2,left,0.9998
2,28053425,116889.27,116.889,0,12,2,left,0.9998
3,28037235,116821.81,116.822,0,12,2,left,0.9998
4,28038321,116826.34,116.826,0,12,2,left,0.9998
5,28038011,116825.05,116.825,0,12,2,left,0.9998
6,28020729,116753.04,116.753,0,12,2,left,0.9998
7,28035140,116813.08,116.813,0,12,2,left,0.9998
8,28034716,116811.32,116.811,0,12,2,left,0.9998
9,28042082,116842.01,116.842,0,12,2,left,0.9998
10,28029077,116787.82,116.788,0,12,2,left,0.9998
11,28023615,116765.06,116.765,0,12,2,left,0.9998
12,28017042,116737.68,116.738,0,12,2,left,0.9998
13,28018017,116741.74,116.742,0,12,2,left,0.9998
14,28033892,116807.88,116.808,0,12,2,left,0.9998
15,28024811,116770.05,116.77,0,12,2,left,0.9998
16,28032925,116803.85,116.804,0,12,2,left,0.9998
17,28030287,116792.86,116.793,0,12,2,left,0.9998
18,28055604,116898.35,116.898,0,12,2,left,0.9998
19,28009330,116705.54,116.706,0,12,2,left,0.9998
20,28054438,116893.49,116.893,0,12,2,left,0.9998
