time_iso,elapsed_s,raw,run,cnn_us,cycles,pred_idx,mode
2026-05-16T12:26:15.736,0.32986927032470703,"BENCH,event=inference,run=0,mode=offline,cnn_us=161,cycles=16100,pred_idx=11",0,161,16100,11,offline
2026-05-16T12:26:15.739,0.3335762023925781,"BENCH,event=inference,run=1,mode=offline,cnn_us=161,cycles=16100,pred_idx=11",1,161,16100,11,offline
2026-05-16T12:26:15.746,0.34056758880615234,"BENCH,event=inference,run=2,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",2,160,16000,11,offline
2026-05-16T12:26:15.753,0.34749650955200195,"BENCH,event=inference,run=3,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",3,160,16000,11,offline
2026-05-16T12:26:15.760,0.354386568069458,"BENCH,event=inference,run=4,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",4,160,16000,11,offline
2026-05-16T12:26:15.767,0.3607959747314453,"BENCH,event=inference,run=5,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",5,160,16000,11,offline
2026-05-16T12:26:15.773,0.36763525009155273,"BENCH,event=inference,run=6,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",6,160,16000,11,offline
2026-05-16T12:26:15.783,0.377413272857666,"BENCH,event=inference,run=7,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",7,160,16000,11,offline
2026-05-16T12:26:15.788,0.38233113288879395,"BENCH,event=inference,run=8,mode=offline,cnn_us=161,cycles=16100,pred_idx=11",8,161,16100,11,offline
2026-05-16T12:26:15.793,0.3876681327819824,"BENCH,event=inference,run=9,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",9,160,16000,11,offline
2026-05-16T12:26:15.800,0.39466166496276855,"BENCH,event=inference,run=10,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",10,160,16000,11,offline
2026-05-16T12:26:15.808,0.40207695960998535,"BENCH,event=inference,run=11,mode=offline,cnn_us=160,cycles=16000,pred_idx=11",11,160,16000,11,offline
