event,run,mode,cnn_us,cycles,pred_idx
inference,0,offline,64073,10251770,3
inference,1,offline,64068,10250978,9
inference,2,offline,64068,10250930,9
inference,3,offline,64068,10250988,9
inference,4,offline,64068,10250970,9
inference,5,offline,64068,10250962,9
inference,6,offline,64068,10250983,9
inference,7,offline,64068,10251001,9
inference,8,offline,64068,10251008,9
inference,9,offline,64071,10251494,9
inference,10,offline,64066,10250689,9
inference,11,offline,64067,10250722,9
inference,12,offline,64068,10250976,9
inference,13,offline,64068,10250973,9
inference,14,offline,64068,10250990,9
inference,15,offline,64068,10250964,9
inference,16,offline,64068,10250976,9
inference,17,offline,64068,10250977,9
inference,18,offline,64067,10250739,9
inference,19,offline,64072,10251539,9
inference,20,offline,64066,10250684,9
inference,21,offline,64068,10251031,9
inference,22,offline,64070,10251227,9
inference,23,offline,64068,10250963,9
inference,24,offline,64068,10250955,9
inference,25,offline,64066,10250693,9
inference,26,offline,64068,10250968,9
inference,27,offline,64068,10250957,9
inference,28,offline,64066,10250706,9
inference,29,offline,64068,10250969,9
inference,30,offline,64070,10251267,9
inference,31,offline,64066,10250719,9
inference,32,offline,64068,10250958,9
inference,33,offline,64072,10251538,9
inference,34,offline,64066,10250710,9
inference,35,offline,64066,10250688,9
inference,36,offline,64068,10250990,9
inference,37,offline,64068,10250977,9
inference,38,offline,64068,10250965,9
inference,39,offline,64068,10250985,9
inference,40,offline,64066,10250690,9
inference,41,offline,64066,10250692,9
inference,42,offline,64068,10250971,9
inference,43,offline,64067,10250739,9
inference,44,offline,64068,10250974,9
inference,45,offline,64068,10250961,9
inference,46,offline,64068,10250975,9
inference,47,offline,64066,10250712,9
inference,48,offline,64066,10250681,9
inference,49,offline,64066,10250660,9
