run,cycles,latency_us,latency_ms,errors,tested,pred_class,pred_label,pred_logit
1,4118940,17162.25,17.162,0,12,2,left,109
2,4115243,17146.85,17.147,0,12,2,left,109
3,4116253,17151.05,17.151,0,12,2,left,109
4,4114587,17144.11,17.144,0,12,2,left,109
5,4116345,17151.44,17.151,0,12,2,left,109
6,4116403,17151.68,17.152,0,12,2,left,109
7,4116160,17150.67,17.151,0,12,2,left,109
8,4116054,17150.23,17.15,0,12,2,left,109
9,4117952,17158.13,17.158,0,12,2,left,109
10,4115748,17148.95,17.149,0,12,2,left,109
11,4115782,17149.09,17.149,0,12,2,left,109
12,4114243,17142.68,17.143,0,12,2,left,109
13,4119370,17164.04,17.164,0,12,2,left,109
14,4115236,17146.82,17.147,0,12,2,left,109
15,4119643,17165.18,17.165,0,12,2,left,109
16,4121483,17172.85,17.173,0,12,2,left,109
17,4119316,17163.82,17.164,0,12,2,left,109
18,4116312,17151.3,17.151,0,12,2,left,109
19,4113931,17141.38,17.141,0,12,2,left,109
20,4115107,17146.28,17.146,0,12,2,left,109
