run,cycles,latency_us,latency_ms,errors,tested,pred_class,pred_label,pred_conf
1,28027049,116779.37,116.779,0,12,2,left,0.9998
2,28014490,116727.04,116.727,0,12,2,left,0.9998
3,28033522,116806.34,116.806,0,12,2,left,0.9998
4,28026244,116776.02,116.776,0,12,2,left,0.9998
5,28040160,116834.0,116.834,0,12,2,left,0.9998
6,28037164,116821.52,116.822,0,12,2,left,0.9998
7,28032600,116802.5,116.802,0,12,2,left,0.9998
8,28030435,116793.48,116.793,0,12,2,left,0.9998
9,28029166,116788.19,116.788,0,12,2,left,0.9998
10,28027629,116781.79,116.782,0,12,2,left,0.9998
11,28040386,116834.94,116.835,0,12,2,left,0.9998
12,28019695,116748.73,116.749,0,12,2,left,0.9998
13,28048307,116867.95,116.868,0,12,2,left,0.9998
14,28040962,116837.34,116.837,0,12,2,left,0.9998
15,28039103,116829.6,116.83,0,12,2,left,0.9998
16,28029971,116791.55,116.792,0,12,2,left,0.9998
17,28036844,116820.18,116.82,0,12,2,left,0.9998
18,28054032,116891.8,116.892,0,12,2,left,0.9998
19,28037053,116821.05,116.821,0,12,2,left,0.9998
20,28024142,116767.26,116.767,0,12,2,left,0.9998
