metric,v0,v1
baud,115200.0,115200.0
cnn_latency_ms_avg,1.8493636363636363,1.711
cnn_latency_us.avg,1849.3636363636363,1711.0
cnn_latency_us.count,11.0,7.0
cnn_latency_us.max,1853.0,1711.0
cnn_latency_us.median,1849.0,1711.0
cnn_latency_us.min,1849.0,1711.0
cnn_latency_us.p95,1849.0,1711.0
cnn_latency_us.std,1.2060453783110545,0.0
compute_estimate.mac_ops_per_inference,8345344.0,7207328.0
compute_estimate.mac_ops_per_second,4512548984.908814,4212348334.307423
compute_estimate.mops_per_second,4512.548984908814,4212.348334307423
counts.num_inference_events,11.0,7.0
counts.num_prediction_events,12.0,8.0
counts.num_uart_events,22.0,14.0
cycles.avg,72267.63636363637,66870.85714285714
cycles.count,11.0,7.0
cycles.max,72384.0,66880.0
cycles.median,72256.0,66880.0
cycles.min,72256.0,66816.0
cycles.p95,72256.0,66880.0
cycles.std,38.593452105953745,24.189726272590544
elf_size_bytes,2327128.0,2254856.0
energy_estimate.current_ma,41.415122033238376,39.63848258001114
energy_estimate.energy_per_inference_j,0.00028338899653018387,0.0002509393416692766
energy_estimate.energy_per_inference_uj,283.3889965301839,250.9393416692766
energy_estimate.mac_ops_per_joule,29448369916.19445,28721395186.805096
energy_estimate.mac_ops_per_second_per_watt,29448369916.19445,28721395186.8051
energy_estimate.power_w,0.153235951522982,0.14666238554604125
energy_estimate.voltage_v,3.7,3.7
estimated_end_to_end_lower_bound_ms,1025.8493636363637,1025.711
inferences_per_second_from_cnn_time,540.7265398417146,584.4535359438925
mac_ops_per_cycle,115.47830287416471,107.77980585179108
memory.bss_bytes,35956.0,36140.0
memory.data_bytes,2604.0,2604.0
memory.dec_bytes,428848.0,404784.0
memory.text_bytes,390288.0,366040.0
prediction_histogram.five,2.0,
prediction_histogram.go,,1.0
prediction_histogram.left,,1.0
prediction_histogram.off,3.0,
prediction_histogram.on,2.0,
prediction_histogram.right,,1.0
prediction_histogram.two,,1.0
prediction_histogram.unknown,,4.0
prediction_histogram.up,1.0,
prediction_histogram.yes,4.0,
sensor_acquisition.audio_window_ms,1024.0,1024.0
sensor_acquisition.audio_window_s,1.024,1.024
sensor_acquisition.sample_count,16384.0,16384.0
sensor_acquisition.sample_rate_hz,16000.0,16000.0
static_sram_usage.bss_bytes,35956.0,36140.0
static_sram_usage.data_bytes,2604.0,2604.0
static_sram_usage.static_sram_bytes,38560.0,38744.0
static_sram_usage.static_sram_kib,37.65625,37.8359375
uart_transmission_time_estimate_s.avg,0.007563920454545453,0.008798363095238095
uart_transmission_time_estimate_s.count,22.0,14.0
uart_transmission_time_estimate_s.max,0.013020833333333334,0.015538194444444445
uart_transmission_time_estimate_s.median,0.007552083333333333,0.008897569444444444
uart_transmission_time_estimate_s.min,0.001736111111111111,0.0019097222222222222
uart_transmission_time_estimate_s.p95,0.012934027777777777,0.015538194444444445
uart_transmission_time_estimate_s.std,0.005458557117222137,0.006918991075332439
