metric,unit,direction,v1_vs_v0_raw_pct,v1_vs_v0_improvement_pct,v0_vs_cpu_raw_pct,v0_vs_cpu_improvement_pct,v1_vs_cpu_raw_pct,v1_vs_cpu_improvement_pct
CNN latency avg,ms,lower,-7.481689033082627,7.481689033082627,-99.79389402826868,99.79389402826868,-99.80931423615222,99.80931423615222
Cycles avg,cycles,lower,-7.467767720565405,7.467767720565405,-99.83891995122548,99.83891995122548,-99.85094903511212,99.85094903511212
Throughput,inf/s,higher,8.086711651878217,8.086711651878217,48418.73002998575,48418.73002998575,52342.29982466394,52342.29982466394
End-to-end lower bound,ms,lower,-0.013487714792085074,0.013487714792085074,,,,
Text,B,lower,-6.212847948181856,6.212847948181856,-4.198413321812898,4.198413321812898,-10.150420234074307,10.150420234074307
Data,B,lower,0.0,-0.0,-0.15337423312883436,0.15337423312883436,-0.15337423312883436,0.15337423312883436
BSS,B,lower,0.5117365669151185,-0.5117365669151185,-45.23243770182172,45.23243770182172,-44.95217205873393,44.95217205873393
Static SRAM,B,lower,0.47717842323651455,-0.47717842323651455,-43.51010840902432,43.51010840902432,-43.240550835042484,43.240550835042484
ELF size,B,lower,-3.1056306314048903,3.1056306314048903,31.9018210178837,-31.9018210178837,27.80543766097145,-27.80543766097145
AI weights,B,lower,,,,,,
AI activations,B,lower,,,,,,
MAC ops,MAC,lower,-13.636537930611366,13.636537930611366,0.0,-0.0,-13.636537930611366,13.636537930611366
MOPS/s,MOPS/s,higher,-6.65257378048069,-6.65257378048069,48418.73002998575,48418.73002998575,45190.98571738871,45190.98571738871
MAC/cycle,MAC/cycle,higher,-6.666617737500513,-6.666617737500513,61980.93476553065,61980.93476553065,57842.23615684566,57842.23615684566
Current,mA,lower,-4.289832713281304,4.289832713281304,177.5369276098078,-177.5369276098078,165.63105769776644,-165.63105769776644
Power,W,lower,-4.289832713281299,4.289832713281299,177.5369276098078,-177.5369276098078,165.63105769776644,-165.63105769776644
Energy/inference,uJ,lower,-11.450569802716762,11.450569802716762,-99.42797981843654,99.42797981843654,-99.49347938861209,99.49347938861209
MAC/J,MAC/J,higher,-2.4686416649146063,-2.4686416649146063,17381.900678168044,17381.900678168044,16950.335194207797,16950.335194207797
