Metric,Unit,U5-v0,U5-v1,U5-v2,MX-v0,MX-v1
Platform,,STM32U5,STM32U5,STM32U5,MAX78000,MAX78000
Version,,v0,v1,v2,v0,v1
Latency avg (ms),ms,397.2418333333333,173.83933333333334,152.92161538461536,1.8493636363636363,1.711
Latency min (ms),ms,397.241,173.839,152.921,1.849,1.711
Latency max (ms),ms,397.242,173.84,152.922,1.853,1.711
Throughput (inf/s),inf/s,2.517358233922158,5.752438075004122,6.5392979107949225,540.7265398417146,584.4535359438925
E2E lower bound (ms),ms,1421.2418333333333,1197.8393333333333,1176.9216153846153,1025.8493636363637,1025.711
Flash text (KB),KB,724.1142578125,250.0546875,226.71875,381.140625,357.4609375
Static SRAM (KB),KB,238.078125,180.80859375,176.80859375,37.65625,37.8359375
ELF size (KB),KB,2685.765625,2302.171875,2280.28515625,2272.5859375,2202.0078125
Weights (KB),KB,0.0,168.1953125,145.1171875,0.0,0.0
Activations (KB),KB,0.0,50.0,46.0,0.0,0.0
MAC ops/inf (M),M,8.79741,8.91527,7.623538,8.345344,7.207328
MOPS/s,MOPS/s,22.14623250068913,51.284538596942,49.8525861162657,4512.548984908814,4212.348334307423
Current (mA),mA,24.095041586763724,22.36430025846604,22.8790316619099,41.415122033238376,39.63848258001114
Power (mW),mW,79.031736404585,73.35490484776861,75.04322385106447,153.235951522982,146.66238554604124
Energy/inf (µJ),µJ,31394.711860874086,12751.967755466196,11475.731014974075,283.3889965301839,250.9393416692766
MAC ops/J (M),M MAC/J,280.2194853383523,699.1289635419932,664.3182896194105,29448.36991619445,28721.395186805097
