metric,u5_v0,u5_v1,u5_v2,mx_v0,mx_v1,mx_v0_0
baud,115200.0,115200.0,115200.0,115200.0,115200.0,115200.0
cnn_latency_ms_avg,397.2418333333333,173.83933333333334,152.92161538461536,1.8493636363636363,1.711,897.28775
cnn_latency_us.avg,397241.8333333333,173839.33333333334,152921.61538461538,1849.3636363636363,1711.0,897287.75
cnn_latency_us.count,6.0,3.0,13.0,11.0,7.0,16.0
cnn_latency_us.max,397242.0,173840.0,152922.0,1853.0,1711.0,897290.0
cnn_latency_us.median,397242.0,173839.0,152922.0,1849.0,1711.0,897288.0
cnn_latency_us.min,397241.0,173839.0,152921.0,1849.0,1711.0,897283.0
cnn_latency_us.p95,397242.0,173839.0,152922.0,1849.0,1711.0,897290.0
cnn_latency_us.std,0.408248290463863,0.5773502691896257,0.5063696835418333,1.2060453783110545,0.0,1.879716290649558
compute_estimate.mac_ops_per_inference,8797410.0,8915270.0,7623538.0,8345344.0,7207328.0,8345344.0
compute_estimate.mac_ops_per_second,22146232.50068913,51284538.596942,49852586.1162657,4512548984.908814,4212348334.307423,9300632.935198324
compute_estimate.mops_per_second,22.14623250068913,51.284538596942,49.8525861162657,4512.548984908814,4212.348334307423,9.300632935198324
counts.num_inference_events,6.0,3.0,13.0,11.0,7.0,16.0
counts.num_prediction_events,,,,12.0,8.0,16.0
counts.num_uart_events,72.0,86.0,174.0,22.0,14.0,16.0
cycles.avg,63558801.833333336,27814386.0,24467522.153846152,72267.63636363637,66870.85714285714,44864424.1875
cycles.count,6.0,3.0,13.0,11.0,7.0,16.0
cycles.max,63558836.0,27814406.0,24467562.0,72384.0,66880.0,44864542.0
cycles.median,63558817.0,27814383.0,24467528.0,72256.0,66880.0,44864442.0
cycles.min,63558708.0,27814369.0,24467447.0,72256.0,66816.0,44864182.0
cycles.p95,63558834.0,27814383.0,24467556.0,72256.0,66880.0,44864540.0
cycles.std,47.94336937123492,18.681541692269406,31.548497465135995,38.593452105953745,24.189726272590544,94.3519784282944
cycles_estimate.clock_mhz,160.0,160.0,160.0,,,
cycles_estimate.cycles_per_inference_avg,63558693.33333332,27814293.333333336,24467458.46153846,,,
cycles_estimate.mac_ops_per_cycle,0.13841395312930707,0.3205283662308875,0.3115786632266606,,,
elf_size_bytes,2750224.0,2357424.0,2335012.0,2327128.0,2254856.0,1764288.0
energy_estimate.current_ma,24.095041586763724,22.36430025846604,22.8790316619099,41.415122033238376,39.63848258001114,14.922382541996122
energy_estimate.energy_per_inference_j,0.031394711860874086,0.012751967755466196,0.011475731014974075,0.00028338899653018387,0.0002509393416692766,0.04954178290626383
energy_estimate.energy_per_inference_uj,31394.711860874086,12751.967755466196,11475.731014974075,283.3889965301839,250.9393416692766,49541.78290626383
energy_estimate.mac_ops_per_joule,280219485.33835226,699128963.5419933,664318289.6194105,29448369916.19445,28721395186.805096,168450619.06209382
energy_estimate.mac_ops_per_second_per_watt,280219485.33835226,699128963.5419933,664318289.6194105,29448369916.19445,28721395186.8051,168450619.06209382
energy_estimate.power_w,0.07903173640458501,0.0733549048477686,0.07504322385106446,0.153235951522982,0.14666238554604125,0.055212815405385654
energy_estimate.voltage_v,3.28,3.28,3.28,3.7,3.7,3.7
estimated_end_to_end_lower_bound_ms,1421.2418333333333,1197.8393333333333,1176.9216153846153,1025.8493636363637,1025.711,
inferences_per_second_from_cnn_time,2.517358233922158,5.752438075004122,6.5392979107949225,540.7265398417146,584.4535359438925,1.1144696893499326
mac_ops_per_cycle,,,,115.47830287416471,107.77980585179108,0.18601250659370228
memory.bss_bytes,228916.0,164440.0,160344.0,35956.0,36140.0,65652.0
memory.data_bytes,14876.0,20708.0,20708.0,2604.0,2604.0,2608.0
memory.dec_bytes,985285.0,441204.0,413212.0,428848.0,404784.0,475652.0
memory.hex,,,,,,74204.0
memory.text_bytes,741493.0,256056.0,232160.0,390288.0,366040.0,407392.0
model_info.activations_bytes,66832.0,51200.0,47104.0,,,
model_info.full_window_samples,,16384.0,16384.0,,,
model_info.hclk_hz,,160000000.0,160000000.0,,,
model_info.input_bytes,,16384.0,16384.0,,,
model_info.input_elems,,16384.0,16384.0,,,
model_info.macc_from_report,8797410.0,8915270.0,7732270.0,,,
model_info.output_bytes,,21.0,21.0,,,
model_info.output_elems,,21.0,21.0,,,
model_info.sample_rate_hz,,16000.0,16000.0,,,
model_info.weights_bytes,684404.0,172232.0,148600.0,,,
prediction_histogram.five,,,,2.0,,16.0
prediction_histogram.go,,,,,1.0,
prediction_histogram.left,,,,,1.0,
prediction_histogram.off,,,,3.0,,
prediction_histogram.on,,,,2.0,,
prediction_histogram.right,,,,,1.0,
prediction_histogram.two,,,,,1.0,
prediction_histogram.unknown,,,,,4.0,
prediction_histogram.up,,,,1.0,,
prediction_histogram.yes,,,,4.0,,
sensor_acquisition.audio_window_ms,1024.0,1024.0,1024.0,1024.0,1024.0,
sensor_acquisition.audio_window_s,1.024,1.024,1.024,1.024,1.024,
sensor_acquisition.fw_reported.audio_window_ms,,1024.0,1024.0,,,
sensor_acquisition.fw_reported.chunk,,128.0,128.0,,,
sensor_acquisition.fw_reported.post_trigger_max,,12544.0,12544.0,,,
sensor_acquisition.fw_reported.preamble,,3840.0,3840.0,,,
sensor_acquisition.fw_reported.sample_count,,16384.0,16384.0,,,
sensor_acquisition.fw_reported.sample_rate_hz,,16000.0,16000.0,,,
sensor_acquisition.sample_count,16384.0,16384.0,16384.0,16384.0,16384.0,
sensor_acquisition.sample_rate_hz,16000.0,16000.0,16000.0,16000.0,16000.0,
static_sram_usage.bss_bytes,228916.0,164440.0,160344.0,35956.0,36140.0,65652.0
static_sram_usage.data_bytes,14876.0,20708.0,20708.0,2604.0,2604.0,2608.0
static_sram_usage.static_sram_bytes,243792.0,185148.0,181052.0,38560.0,38744.0,68260.0
static_sram_usage.static_sram_kib,238.078125,180.80859375,176.80859375,37.65625,37.8359375,66.66015625
uart_transmission_time_estimate_s.avg,0.0027440200617283956,0.002860545865633077,0.002704940932311622,0.007563920454545453,0.008798363095238095,0.016840277777777777
uart_transmission_time_estimate_s.count,72.0,86.0,174.0,22.0,14.0,16.0
uart_transmission_time_estimate_s.max,0.012673611111111111,0.018229166666666668,0.018229166666666668,0.013020833333333334,0.015538194444444445,0.016840277777777777
uart_transmission_time_estimate_s.median,0.0016493055555555556,0.0019965277777777776,0.001345486111111111,0.007552083333333333,0.008897569444444444,0.016840277777777777
uart_transmission_time_estimate_s.min,0.0,0.0,0.0,0.001736111111111111,0.0019097222222222222,0.016840277777777777
uart_transmission_time_estimate_s.p95,0.0125,0.004861111111111111,0.0125,0.012934027777777777,0.015538194444444445,0.016840277777777777
uart_transmission_time_estimate_s.std,0.003293348244884731,0.0030486342278658674,0.0034586951896896628,0.005458557117222137,0.006918991075332439,0.0
