metric,unit,direction,u5_v0,u5_v1,u5_v2,mx_v0,mx_v1
CNN latency avg,ms,lower,397.2418333333333,173.83933333333334,152.92161538461536,1.8493636363636363,1.711
Cycles avg,cycles,lower,63558801.833333336,27814386.0,24467522.153846152,72267.63636363637,66870.85714285714
Throughput,inf/s,higher,2.517358233922158,5.752438075004122,6.5392979107949225,540.7265398417146,584.4535359438925
End-to-end lower bound,ms,lower,1421.2418333333333,1197.8393333333333,1176.9216153846153,1025.8493636363637,1025.711
Text,B,lower,741493.0,256056.0,232160.0,390288.0,366040.0
Data,B,lower,14876.0,20708.0,20708.0,2604.0,2604.0
BSS,B,lower,228916.0,164440.0,160344.0,35956.0,36140.0
Static SRAM,B,lower,243792.0,185148.0,181052.0,38560.0,38744.0
ELF size,B,lower,2750224.0,2357424.0,2335012.0,2327128.0,2254856.0
AI weights,B,lower,684404.0,172232.0,148600.0,,
AI activations,B,lower,66832.0,51200.0,47104.0,,
MAC ops,MAC,lower,8797410.0,8915270.0,7623538.0,8345344.0,7207328.0
MOPS/s,MOPS/s,higher,22.14623250068913,51.284538596942,49.8525861162657,4512.548984908814,4212.348334307423
Current,mA,lower,24.095041586763724,22.36430025846604,22.8790316619099,41.415122033238376,39.63848258001114
Power,W,lower,0.07903173640458501,0.0733549048477686,0.07504322385106446,0.153235951522982,0.14666238554604125
Energy/inference,uJ,lower,31394.711860874086,12751.967755466196,11475.731014974075,283.3889965301839,250.9393416692766
MAC/J,MAC/J,higher,280219485.33835226,699128963.5419933,664318289.6194105,29448369916.19445,28721395186.805096
